2025-12-11 21:55:37 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 21:55:38 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 21:55:40 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 21:55:40 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 21:55:41 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 21:55:43 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 21:55:43 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 21:55:44 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 21:56:08 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 21:56:19 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 21:56:44 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 21:57:02 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 21:57:03 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 21:57:03 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:02:21 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:05:21 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:05:33 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:05:33 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:05:34 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:13 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:13 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:06:14 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:06:27 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:28 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:06:28 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:06:29 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:29 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:06:30 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:06:40 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:40 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:06:40 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:42 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:06:42 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:06:42 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:07:02 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:07:02 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:07:03 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:07:27 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:07:27 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:07:27 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:07:28 | INFO     | - | watchfiles.main:_log_changes:308 | 6 changes detected
2025-12-11 22:08:27 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:08:40 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:08:40 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:08:41 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:10:56 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:06 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:07 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:22 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:22 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:30 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:31 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:11:37 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:11:45 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:45 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:11:45 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:45 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:11:47 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:11:48 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:11:48 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:03 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:12:03 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:12:04 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:04 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:12:05 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:12:05 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:12:06 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:06 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:12:13 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:12:14 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:12:14 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:15 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:12:22 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:12:22 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:12:22 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:23 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:12:25 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:12:25 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:12:25 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:26 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:12:30 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
2025-12-11 22:12:30 | INFO     | - | src.app:lifespan:17 | Application shutting down...
2025-12-11 22:12:30 | INFO     | - | watchfiles.main:_log_changes:308 | 2 changes detected
2025-12-11 22:12:31 | INFO     | - | watchfiles.main:_log_changes:308 | 3 changes detected
2025-12-11 22:14:17 | INFO     | - | watchfiles.main:_log_changes:308 | 1 change detected
